城市名,县区名,年份,城乡养老保险参保万人,城乡养老保险缴费万人,城乡养老保险离退休万人,城乡养老保险缴费万元,城乡养老保险支出万元,企业养老保险参保万人,企业养老保险缴费万人,企业养老保险离退休万人,企业养老保险缴费万元,企业养老保险支出万元,机关养老保险参保人数,机关养老保险缴费人数,机关养老保险离退休人数,机关养老保险缴费万元,机关养老保险支出万元,所属省份
临沂市,平邑县,2021,51.53,31.58,19.95,,35910,,,2.28,,62709.12,,,8500,,56089.8,山东省
临沂市,平邑县,2020,51.6,32.8277,18.7723,,31987.9992,,,2.1362,,55575.3792,,,8277,,52373.5452,山东省
临沂市,郯城县,2023,,,,,,7.4729,,,,,18825,,,,,山东省
临沂市,郯城县,2022,,,,,,6.218,,,125587,124935,19091,,,52908,52209,山东省
临沂市,沂南县,2023,50.55,,,,,11.58,,,,,24400,,,,,山东省
临沂市,沂南县,2022,50.53,,,,,10.21,,,,,24000,,,,,山东省
临沂市,沂南县,2021,49.51,,,,,9.34,,,,,23500,,,,,山东省
临沂市,沂南县,2020,55.73,,,,,6.01,,,,,15700,,,,,山东省
临沂市,沂南县,2016,46.14,,,,,4.8,2.9,1.9,,,16000,,,,,山东省
临沂市,沂南县,2015,48.32,,,,,4.4,,,,,16000,,,,,山东省
临沂市,沂南县,2014,49.1,,,,,4.53,,,,,15000,,,,,山东省
临沂市,沂南县,2011,36.12,,,,,4.06,,,,,15700,,,,,山东省
临沂市,沂南县,2010,,,,,,4.06,,,,,16000,,,,,山东省
临沂市,沂南县,2009,,,,,,3.3,,,,,15800,,,,,山东省
临沂市,沂南县,2008,,,,,,3.2489,2.5795,0.6694,,7868,15800,11296,4504,8029,8452,山东省
临沂市,沂南县,2007,,,,,,2.7119,2.0819,0.63,,7852,15926,11611,4315,6853,8411,山东省
临沂市,沂南县,2006,,,,,,,,1.01,,,16200,12025,4175,5000,6200,山东省
临沂市,沂南县,2005,,,,,,2.5103,2.0076,0.5027,,3900,15720,11715,4005,,5500,山东省
六安市,霍邱县,2023,48.3,23.22,25.08,33000,52000,4.2954,,,51290,,29991,18976,11015,35670,64000,安徽省
六安市,霍邱县,2022,50.69,27.05,23.64,24000,43900,4.0632,1.8541,2.2091,51900,67800,29713,18917,10796,37300,58500,安徽省
六安市,霍邱县,2021,53.48,,,,,5.69,3.8128,1.8772,,58300,,,10588,,56500,安徽省
六安市,霍邱县,2020,54.05,,,,,5.41,3.4307,1.9793,,,,,10481,,,安徽省
六安市,霍邱县,2019,54.63,,,16600,,4.67,,,,,28199,19658,8541,25010,,安徽省
六安市,霍邱县,2011,,,,,,,,,,,,,,,,安徽省
六安市,霍邱县,2010,,,,,,,,,,,7100,,,,,安徽省
六安市,霍邱县,2009,,,,,,,,0.8306,,,7100,,,,,安徽省
六安市,霍邱县,2008,,,,,,,,0.585,,,7100,,,,,安徽省
六盘水市,水城区,2023,39.059,,,,,3.4841,,,,,18491,,,,,贵州省
龙岩市,上杭县,2022,,,,,,8.68,7.721,0.959,42384,28861,10206,4003,6203,17952,36407,福建省
龙岩市,上杭县,2021,,,,,,5.9,5.0258,0.8742,,18531.1,10390,4357,6033,13052,25569,福建省
龙岩市,上杭县,2020,,,,,,5.57,4.7402,0.8298,19674.6,21341,10365,4303,6062,32626,32292,福建省
龙岩市,新罗区,2021,19.59,,,,,19.76,,,,,,9266,,,,福建省
龙岩市,新罗区,2020,18.53,12.29,6.24,,7525.01,11.69,,,24695.14,,8675,,,24901,,福建省
龙岩市,永定区,2023,,,,,,5.6829,,,27106,32369,9366,,,19936,41317,福建省
龙岩市,永定区,2022,,,,,,4.9074,,,24093,29538,9531,,,17606,35526,福建省
龙岩市,永定区,2021,,,,,,5.0444,,,22164,29878,9725,,,17331,32625,福建省
龙岩市,永定区,2020,,,,,,4.047,,,14403,,9803,,,17244,30576,福建省
陇南市,成县,2019,15.3323,,,,,0.8323,,,,,12748,,,,,甘肃省
陇南市,康县,2023,12.9746,,,,,0.3579,,,,,5398,,,,,甘肃省
陇南市,康县,2022,13.005,,,,,0.3579,,,,,,,,,,甘肃省
陇南市,康县,2021,13.0127,,,,,0.3576,,,,,6676,,,,,甘肃省
陇南市,康县,2020,13.0632,,,,,0.3576,,,,,6861,,,,,甘肃省
泸州市,泸县,2023,50.9,,,,,16.4,,,,,21000,,,,,四川省
泸州市,纳溪区,2022,15,,,,9506,9.15,,,,91847,10600,,,11686,,四川省
泸州市,纳溪区,2021,15.02,,,,8994,9.44,,,,84786,10500,,,11061,,四川省
洛阳市,西工区,2023,,,,,2103.45,,9.0552,,,21100,,13444,,,17000,河南省
洛阳市,西工区,2022,2.6093,1.4383,1.171,,1695,8.7571,8.2248,0.5323,,16314,3409,555,2854,,15930,河南省
洛阳市,西工区,2021,2.6107,1.5109,1.0998,,1609,6.016,5.5307,0.4853,,15130,2747,519,2228,,11836,河南省
洛阳市,伊川县,2022,46.9719,,,4893,17000,,,,,,,,,,,河南省
洛阳市,伊川县,2021,46.1479,,,4742.2,16000,,,,,,,,,,,河南省
洛阳市,伊川县,2020,45.52,,,,14000,3.694,,,,,,,,,,河南省
漯河市,源汇区,2023,9.863,,,,,1.5258,1.0757,0.4501,,,8116,5821,2295,,,河南省
漯河市,源汇区,2022,9.949,,,,,2.2166,1.7526,0.464,,,8029,5836,2193,,,河南省
漯河市,源汇区,2020,10.1106,,,,,0.9597,0.5197,0.44,,,7740,5673,2067,,,河南省
马鞍山市,含山县,2020,,,,,,,,,,,,,,,,安徽省
眉山市,洪雅县,2023,15.9,,,,,8.23,,,,,10400,,,,,四川省
眉山市,洪雅县,2021,16.4,,,,,7.4,,,,,9800,,,,,四川省
眉山市,洪雅县,2020,16.5,,,,,4.65,,,,,6300,,,,,四川省
牡丹江市,东宁市,2022,2.0073,,,3424,,3.4059,,,26500,,5525,,,9978,,黑龙江省
牡丹江市,东宁市,2021,3.1979,,,,,,,,,,,,,,,黑龙江省
南昌市,红谷滩区,2022,5.1509,,,,,,,,,,,,,,,江西省
南昌市,红谷滩区,2021,1.2597,,,,,4.7827,,,20479,,,,,,,江西省
南充市,南部县,2023,37.9,19,18.9,28000,37000,7.1,0.7,6.4,,,16000,7000,9000,,62000,四川省
南充市,南部县,2022,37.4,18.5,18.9,17000,31000,7.1,1.1,6,,,16000,7000,9000,,57000,四川省
南充市,南部县,2021,37.8,19.2,18.6,16000,30000,8,2.2,5.8,,,15000,6000,9000,,64000,四川省
南充市,南部县,2020,,18.3,21.6,16000,29000,8,2.3,5.7,,,15000,6000,9000,,47000,四川省
南充市,蓬安县,2022,30.48,10.87,19.61,9976.46,,,,,,,10308,,,29200,,四川省
南充市,蓬安县,2021,29.66,8.93,20.73,9989.6,,,,,,,,,,9600,,四川省
南京市,浦口区,2022,6.1464,2.6574,3.489,,24170.4,,,3.4146,,7855,12900,,,,,江苏省
南京市,浦口区,2021,2.8807,,,,,,,2.8376,,2026,13089,,,,,江苏省
南京市,秦淮区,2021,0.303,,,,,,,,,,,,,,,江苏省
南平市,建瓯市,2020,29.157,,,,,3.795,,,,,9174,,,,,福建省
南平市,顺昌县,2022,10.18,,,,,3.07,,,,,5200,,,,,福建省
南平市,武夷山市,2023,10.38,6.987,3.393,,6718.47,2.8795,,,,,11156,6409,4747,,,福建省
南平市,武夷山市,2022,10.6474,7.4513,3.1961,,5662.6,4.73,3.7298,1.0002,,,10976,,,,,福建省
南平市,武夷山市,2021,10.66,,,,,3.3768,2.4305,0.9463,19504,28556,6558,,,,,福建省
南平市,武夷山市,2020,10.63,,,,,3.2065,2.2998,0.9067,11993,25744,5198,,,,,福建省
南通市,海门区,2023,18.57,,,,,17.84,,,,,29400,,,,,江苏省
南通市,海门区,2022,18.86,,,,,18.21,,,,,29400,,,,,江苏省
南通市,海门区,2021,19.51,,,,,18.04,,,,,29500,,,,,江苏省
南通市,海门区,2020,20.4,,,,,16.35,,,,,29300,,,,,江苏省
南阳市,内乡县,2022,38.06,,,,,7.15,6.07,1.09,,,21200,14400,6800,,,河南省
南阳市,内乡县,2021,37.42,,,,,5.05,4.1,0.95,,,20700,13600,6500,,,河南省
南阳市,内乡县,2020,37.42,,,,,5.05,4.1,0.95,,,20100,13600,6500,,,河南省
南阳市,内乡县,2019,61.9,,,,,4.8505,3.9526,0.8979,,,19700,13400,6300,,,河南省
南阳市,唐河县,2023,71.33,,,,,4.85,,,,,36200,,,,,河南省
南阳市,唐河县,2020,70.6894,,,,,,,,,,22397,,,,,河南省
南阳市,桐柏县,2023,,,,,,,,,,35460,19611,12742,6869,30886,30182,河南省
南阳市,桐柏县,2022,23.8102,,,,,,,,,32092,18902,12265,6637,29079,29890,河南省
南阳市,桐柏县,2021,23.4382,,,,,3.1885,2.1602,1.0283,29550,30316,18796,12333,6463,,28169,河南省
南阳市,桐柏县,2020,23.0527,,,,,2.9961,1.9761,1.02,13047,28368,18472,12176,6296,,26016,河南省
内江市,东兴区,2019,,12.36,,,,,8.06,,,,16000,10200,5800,,,四川省
宁德市,福安市,2022,35.14,,,,,16.9024,,,,,18100,,,,,福建省
宁德市,福安市,2014,,16.2283,7.2786,,7647,6.8569,5.5696,1.2873,20590,26444,6265,,,7515,4391,福建省
宁德市,福安市,2012,,,,,,5.1693,,,,,,5810,,,,福建省
宁德市,福安市,2008,,,,,,,,0.871,,8590,,,910,,1458,福建省
宁德市,福安市,2006,,,,,,,,0.7465,,5743,,,868,,1082,福建省
宁德市,福安市,2005,,,,,,,,0.7249,,4382,,,821,,960,福建省
宁德市,福安市,2004,,,,,,,,0.6662,,3770,,,782,,853,福建省
宁德市,古田县,2023,17.7654,,,,,,3.5527,,,,13522,,,,,福建省
宁德市,屏南县,2021,8.799,,,,,0.7906,,,,,4894,,,,,福建省
宁德市,寿宁县,2022,10.1847,,,,,2.9815,,,,,8891,,,,,福建省
平顶山市,叶县,2023,56.19,22.65,33.54,5124.75,25000,3.3997,2.6614,0.7383,,,17214,8280,8934,,,河南省
平顶山市,叶县,2022,50.68,,,,,3.0642,2.3437,0.7205,,,17099,8507,8592,,,河南省
平顶山市,叶县,2021,,,,,,3.5197,2.1556,0.972,,,17216,8821,8395,,,河南省
平顶山市,叶县,2020,,,,,,3.1092,,,,,17160,,,,,河南省
平顶山市,叶县,2019,48.1,35.19916667,12.90083333,,17800,2.4987,,,,,17632,,,,,河南省
平顶山市,叶县,2018,47.58,34.35333333,13.22666667,,17000,2.4987,,,,,904,,,,,河南省
平凉市,灵台县,2022,14.07,,,,,0.03162,,,,,7586,,,,,甘肃省
萍乡市,安源区,2020,5.2172,3.149,0.8588,,,7.906,5.2015,2.751,,,7796,5420,2376,,,江西省
萍乡市,芦溪县,2020,14.1885,,,,,4.3612,,,,,9082,,,,,江西省
萍乡市,湘东区,2023,14.2846,9.346,4.9386,,,8.6339,5.7154,2.9185,,,10214,6687,3527,,,江西省
萍乡市,湘东区,2022,,,,,,,,,,,,,,,,江西省
萍乡市,湘东区,2021,14.3796,9.8342,4.5454,,,7.4646,4.843,2.6216,,,9970,6664,3306,,,江西省
普洱市,景谷傣族彝族自治县,2020,17.52,,,,,0.96,,,,,6256,,,,,云南省
黔东南苗族侗族自治州,岑巩县,2020,8.4987,,,,,,,,4661,6738,,,,7919,9317,贵州省
黔东南苗族侗族自治州,丹寨县,2022,,,,,,0.9613,,,,,5952,,,,,贵州省
黔东南苗族侗族自治州,麻江县,2022,,,,,,,,,,,,,,,,贵州省
黔东南苗族侗族自治州,麻江县,2021,9.71,,,,,1.5844,1.2605,0.3239,,16402,6755,5431,1324,,7975,贵州省
黔东南苗族侗族自治州,麻江县,2020,9.69,,,,,0.7394,0.5496,0.1898,3761.04,5198.38,5322,4031,1291,5940.08,7305.77,贵州省
黔东南苗族侗族自治州,台江县,2023,9.2765,,,,3233.38,,,,5548.82,,,,,10672.72,,贵州省
黔东南苗族侗族自治州,台江县,2022,9.3388,,,,2890.81,,,,,4649,,,,,9063,贵州省
黔东南苗族侗族自治州,台江县,2021,9.3149,,,656.435,,,,,5827.897,,,,,7278.745,,贵州省
秦皇岛市,青龙满族自治县,2020,32.3324,,,,,3.3572,,,,,15652,,,,,河北省
青岛市,平度市,2022,,,27.01,,98208.36,16.99,9.17,7.82,184100,194530.32,,,,,,山东省
青岛市,平度市,2021,,,26.4,,89337.6,16.1,8.5,7.6,157000,179481.6,,,,,,山东省
青岛市,平度市,2020,23.0934,14.1264,8.967,,,,,2.2589,,,,,,,,山东省
清远市,佛冈县,2017,11.25,,,,,,,,,,,,,,,广东省
清远市,连州市,2019,,,,,,,,,,,,,,,,广东省
庆阳市,合水县,2022,10.5908,8.1309,2.4599,,4038.83,0.5061,0.267,0.2391,,,,,2087,,,甘肃省
庆阳市,合水县,2020,10.5966,8.3551,2.2415,,3448.49,0.5138,0.2985,0.2153,2417.5,,,,1969,,,甘肃省
庆阳市,环县,2022,19.3881,,,,,0.9265,0.6754,0.2511,7080,8760,10054,7417,2637,12969.41,18836,甘肃省
庆阳市,环县,2021,19.6647,,,,,0.9114,0.6659,0.2455,6390,8142,9778,7242,2536,12453,17085,甘肃省
庆阳市,环县,2020,21.6907,,,,,0.8069,0.5659,0.241,3362,7573,9366,6904,2462,11354,15758,甘肃省
庆阳市,宁县,2023,35.08,,,,,0.5572,,,,,7809,,,,,甘肃省
庆阳市,宁县,2022,35.22,,,,,0.5539,,,,,7906,,,,,甘肃省
庆阳市,庆城县,2022,,,,,,,0.4061,,7747,6207,,6006,,16957,18337,甘肃省
庆阳市,庆城县,2021,,,,,,,0.3942,,5963,5767,,6143,,14660,16003,甘肃省
庆阳市,庆城县,2020,,,,,,,0.371,,7246,5260,,6006,,11629,14198,甘肃省
庆阳市,镇原县,2023,32.39,23.6128,8.7772,12650.3,15596.55,0.7011,0.4169,0.2842,8431.58,11215.07,15381,11370,4011,32292.21,28676.74,甘肃省
庆阳市,镇原县,2022,32.403,24.48890833,7.914091667,15345.59,13767.2,0.6875,0.4133,0.2742,6973,10486.14,12850,9064,3786,26949,26116,甘肃省
庆阳市,正宁县,2023,13.4369,9.6344,3.8025,9785,7342,0.3443,0.0589,0.2854,6791,9540,4757,2189,2568,8779,17938,甘肃省
庆阳市,正宁县,2020,14.1069,,,3047,7659,0.2083,,,2912,7411,6936,4561,2375,8749,13926,甘肃省
曲靖市,师宗县,2021,22.78,,,,,1.39,,,,,8597,,,,,云南省
曲靖市,沾益区,2022,22.86,16.8811,5.9789,,,1.8153,1.305,0.5103,,,8629,5933,2696,,,云南省
泉州市,洛江区,2020,,6.7372,2.4883,,,4.66663,4.6467,0.01993,,,4051,3177,874,,,福建省
日照市,东港区,2020,,,,21900,15300,,,,71600,122400,,,,20900,34500,山东省
日照市,岚山区,2023,22.24,,,6096.95,15978.71,,,,,,,,,,,山东省
日照市,岚山区,2022,22.44,,,5690.32,14351.71,8.9,5.3132,3.5868,,82334.27664,,,,,,山东省
日照市,岚山区,2021,22.78,,,5243.51,13211.07,5.14,,,,,,,,,,山东省
三门峡市,湖滨区,2023,,,,,2934,,,,,15011,,,,,10422,河南省
三门峡市,湖滨区,2022,,,,,2617,,,,,13620,,,,,10040,河南省
三门峡市,湖滨区,2021,,,,,2333,,,,,12519,,,,,9143,河南省
三明市,宁化县,2020,21.22,,,,,0.98,,,,,10400,,,,,福建省
三明市,泰宁县,2023,6.9959,,,,,,1.2238,,,,,3979,,,,福建省
三明市,泰宁县,2022,7.0243,,,,,,1.1267,,,,,4069,,,,福建省
三明市,泰宁县,2021,7.0135,,,,,,1.2877,,,,,4086,,,,福建省
三明市,泰宁县,2020,,,,,,,1.2962,,,,,3935,,,,福建省
三明市,泰宁县,2019,6.8712,,,,,,12906,,,,,3918,,,,福建省
三明市,泰宁县,2018,6.6647,,,,,,1.2364,,,,,3919,,,,福建省
三明市,泰宁县,2017,6.441,,,,,,1.1607,,,,,3901,,,,福建省
三明市,泰宁县,2016,6.4482,,,,,,1.1155,,,,,4020,,,,福建省
三明市,泰宁县,2015,6.3853,,,,,,1.0716,,,,,4123,,,,福建省
三明市,泰宁县,2014,6.1835,,,,,,1.0298,,,,,4251,,,,福建省
三明市,泰宁县,2013,6.1704,,,,,,0.9431,,,,,4017,,,,福建省
三明市,泰宁县,2012,5.9801,,,,,,0.8995,,,,,3892,,,,福建省
三明市,尤溪县,2023,22.4493,,,,,,,,20902.92,,,,,21738,38150,福建省
三明市,尤溪县,2022,22.6183,,,,,,,,1652.56,,,,,15500,34300,福建省
三明市,尤溪县,2021,22.7288,,,,,,,,11799,,,,,12900,25300,福建省
三明市,尤溪县,2020,22.8,,,,9200,2.56,,,,17900,9320,,,,27800,福建省
厦门市,海沧区,2023,0.41,,,,,29.08,,,,,,,,,,福建省
厦门市,海沧区,2022,0.59,,,,,29.01,,,,,,,,,,福建省
厦门市,海沧区,2021,0.72,,,,,27.07,,,,,,,,,,福建省
厦门市,海沧区,2020,,,,,,26.85,,,,,,,,,,福建省
汕头市,龙湖区,2022,14.701,6.0373,8.6637,23580.34,11670.91,11.7047,10.9096,0.7951,,,,7782,,18999.28,20170.84,广东省
汕头市,龙湖区,2021,14.4792,6.2242,8.255,12059,10683,10.7111,10.112,0.5991,,,,7843,,26785,21994,广东省
汕头市,龙湖区,2020,14.5048,6.483,8.0218,17088,21290,9.6064,9.2603,0.3461,,,,7212,,19133,18106,广东省
商丘市,民权县,2022,50.34,36.83,13.51,27134,20196,2.8122,2.3375,0.4747,,,27204,17636,9568,21419,40552,河南省
商丘市,永城市,2022,87.5773,,,,,,,,,,,,,,,河南省
上海市,嘉定区,2016,,,,,,60.5,47.6,12.9,,,,,,,,上海市
上海市,嘉定区,2015,2.1787,0.392,1.7867,,,60,47.8,12.2,,,,,,,,上海市
上海市,金山区,2023,7.5568,1.4348,6.122,,,,,,,,,,,,,上海市
上海市,金山区,2022,7.6952,1.6062,6.089,,106796.1888,,,,,,,,,,,上海市
上海市,金山区,2020,7.9251,1.8129,6.1122,,91331.67074,,,,,,,,,,,上海市
上海市,青浦区,2017,2.604,1.6455,4.2284,,52153.4,,,,,,,,,,,上海市
上海市,青浦区,2016,5.8751,1.6708,4.2043,,45349.9,,,,,,,,,,,上海市
上海市,青浦区,2015,5.9527,1.7429,4.2098,,40741.1,3.344,,,,,,,,,,上海市
上海市,青浦区,2014,,,,,,,,,,,,,,,,上海市
上海市,青浦区,2013,,,,,,,,,,,,,,,,上海市
上饶市,德兴市,2023,11.9509,4.2788,7.6721,,,9.2547,6.0783,3.1764,,,11564,7738,3826,,,江西省
上饶市,德兴市,2022,11.9554,6.8481,5.1073,,,8.9461,5.8716,3.0745,,,11595,7907,3688,,,江西省
上饶市,德兴市,2021,12.75,,,7696,,8.6,5.7741,2.8259,,,11300,7800,3500,13164,,江西省
上饶市,德兴市,2020,,,,,,6.5678,3.7356,2.8322,,72873,10865,7468,3397,,19559,江西省
韶关市,曲江区,2021,9.24,,,,,6.98,5.14,1.84,,,,,,,,广东省
韶关市,翁源县,2023,14.8257,,,,,6.2699,,,,,,,,,,广东省
韶关市,翁源县,2022,14.9065,,,,,6.0503,,,,,,,,,,广东省
韶关市,翁源县,2021,14.9396,,,,,5.787,,,,,,,,,,广东省
韶关市,翁源县,2020,15.243,,,,,5.5912,,,,,,,,,,广东省
韶关市,浈江区,2023,4.28,,,,,12.19,8.54,3.65,,,,,,,,广东省
韶关市,浈江区,2022,4.3189,,,,,8.7893,,,,,4498,,,,,广东省
韶关市,浈江区,2021,4.266,,,,,,,,,,,,,,,广东省
韶关市,浈江区,2020,4.2574,,,,,8.4366,,,,,,,,,,广东省
邵阳市,城步苗族自治县,2023,16.7468,,,,,2.2451,,,,,12137,,,,,湖南省
邵阳市,城步苗族自治县,2022,16.6476,,,,,2.0456,,,,,11881,,,,,湖南省
邵阳市,城步苗族自治县,2021,16.6476,,,,,1.8853,,,,,11879,,,,,湖南省
邵阳市,城步苗族自治县,2020,16.7614,,,,,1.895,,,,,11517,,,,,湖南省
邵阳市,洞口县,2020,,,,,,4.36,,,,,25400,,,,,湖南省
邵阳市,洞口县,2019,,,,,,2.47,,,,,24800,,,,,湖南省
绍兴市,嵊州市,2022,,,11.45,,,,,,,,,,,,,浙江省
绍兴市,新昌县,2023,,,,,,,,,,,,,,,,浙江省
绍兴市,新昌县,2022,,,,,,,,,,,,,,,,浙江省
绍兴市,新昌县,2021,,,,,,,,,,,,,,,,浙江省
绍兴市,新昌县,2020,,,,,,,,,,,,,,,,浙江省
绍兴市,诸暨市,2021,28.29,,,,,50.63,,,,,34800,,,,,浙江省
绍兴市,诸暨市,2020,34.91,,,,,51.3,,,,,34900,,,,,浙江省
沈阳市,新民市,2020,29.2605,,,,,5.2217,,,,,,,,,,辽宁省
石家庄市,行唐县,2020,23.6842,16.0112,7.673,2782,10460,2.3657,,,,,13375,,,,,河北省
双鸭山市,饶河县,2022,1.7752,0.9469,0.8283,,,0.9034,0.5292,0.3742,,,3758,959,2799,,,黑龙江省
松原市,前郭尔罗斯蒙古族自治县,2022,27.3663,,,,,6.8717,,,,,24530,,,,,吉林省
松原市,长岭县,2023,29.0321,19.0357,9.9964,3251,12320,5.3456,2.9714,2.3742,31411,68229,22102,13364,8738,24849,54667,吉林省
宿迁市,泗洪县,2023,33.59,,,,,8.87,,,11400,99900,,,,,,江苏省
宿迁市,泗洪县,2022,,,,,,,,,,,,,,,,江苏省
宿迁市,泗洪县,2021,34.51,,,,,8.01,,,71700,81300,,,,,,江苏省
宿迁市,泗洪县,2020,35.03,,,,,10.04,,,,,,,,,,江苏省
宿迁市,宿城区,2020,17.78,,,,,,,,,,8390,,,,,江苏省
绥化市,肇东市,2023,5.1816,,,,,3.6603,,,,,,13191,,,,黑龙江省
绥化市,肇东市,2022,,,,,,8.7823,,,,148000,,13423,,,,黑龙江省
绥化市,肇东市,2021,,,,,,,1.943,,,147000,,13233,,,,黑龙江省
绥化市,肇东市,2020,,,,,,,3.1287,,,137200,,13147,,,,黑龙江省
塔城地区,塔城市,2023,3.8522,,,1517,,2.9119,,,22609,,6344,,,14399,,新疆维吾尔自治区
塔城地区,裕民县,2022,2.1594,,,,,0.8725,,,,,5792,,,,,新疆维吾尔自治区
台州市,路桥区,2022,13.5349,,,,,,,,,,12200,,,,,浙江省
太原市,古交市,2022,5.8593,,,,,2.5421,,,,,12006,,,,,山西省
太原市,娄烦县,2022,6.5663,,,,,0.9788,,,,,6701,,,,,山西省
太原市,小店区,2022,13.6652,,,,,22.1549,,,,,12180,,,,,山西省
太原市,迎泽区,2022,2.91,,,,,9.9,,,,,9300,,,,,山西省
泰安市,岱岳区,2022,32.01,19.01,13,,28300,12,,,,70400,17800,,,,50700,山东省
泰安市,东平县,2023,43.2,,,,,7.53,,,,,14700,,,,,山东省
泰安市,东平县,2022,45.22,,,,,7.5,,,,,14400,,,,,山东省
泰安市,东平县,2021,45.3612,,,,,11.2884,,,,,,,,,,山东省
泰安市,东平县,2020,46.8906,,,,,11.4859,,,,,15100,,,,,山东省
泰安市,宁阳县,2022,44.2,,,,,8.1,,,,89000,15000,,,,58000,山东省
泰安市,宁阳县,2020,,,,,,9.3,,,,74600,16000,,,,76900,山东省
泰安市,宁阳县,2019,46.2,,,,,8.94,,,,64900,16000,,,,48300,山东省
泰安市,宁阳县,2018,,,,,,10.45,,,,63300,15900,,,,43000,山东省
泰安市,新泰市,2012,65.3,,,,,16.9248,,,,43268,32660,,,,29399,山东省
泰安市,新泰市,2011,47.4,,,,,12.662,,,,35314,32324,,,,26315,山东省
唐山市,丰南区,2023,25.36,,,,,14.49,,,12082,,12600,,,,,河北省
唐山市,丰南区,2022,25.67,,,,,14.0193,,,107928.1,,12565,,,,,河北省
通辽市,科尔沁左翼中旗,2022,22.1396,,,,,3.9161,,,,,15697,9347,6350,,,内蒙古自治区
通辽市,科尔沁左翼中旗,2021,22.1,,,,,2.0231,,,,,14810,8845,5965,,,内蒙古自治区
铜仁市,德江县,2022,23.1605,,,,,1.3936,,,,,13195,,,,,贵州省
铜仁市,印江土家族苗族自治县,2022,23.4015,,,,,1.2409,,,,,12842,,,,,贵州省
铜仁市,印江土家族苗族自治县,2021,23.503,,,,,0.8224,,,,,9826,,,,,贵州省
铜仁市,印江土家族苗族自治县,2020,23.0535,,,,,,,,,,,,,,,贵州省
威海市,乳山市,2018,,,10.7,,17600,8.92,0.9318,7.9882,,218766,,11425,,,,山东省
威海市,乳山市,2017,26.4,15.9,10.5,,16800,8.82,1.3378,7.4822,,201731,,11314,,,,山东省
威海市,乳山市,2016,26.4,,,,,8.5998,1.4458,7.154,,189087,,11777,,,,山东省
威海市,乳山市,2015,,,,,,9.1298,4.1253,5.0045,,146963,,12043,,,,山东省
威海市,乳山市,2014,29.2287,,,,,8.2339,4.1044,4.1295,,108023,,12600,,,,山东省
威海市,乳山市,2013,28.7493,,,,,7.6978,4.0901,3.6077,,83971,,12395,,,,山东省
威海市,乳山市,2012,27.9542,,,,,7.667,4.3539,3.3131,,73509,,12585,,,,山东省
威海市,乳山市,2011,,,,,,7.2971,4.2056,3.0915,,63235,,12814,,,,山东省
威海市,乳山市,2010,,,,,,6.3113,3.4463,2.865,,54383,,13080,,,,山东省
潍坊市,高密市,2022,51.37,34.6,16.77,,40400,14.73,10.12,4.61,,,17600,,,,,山东省
潍坊市,高密市,2021,51.4,35.1,16.3,20000,,,,4.3,,,,,10000,,,山东省
潍坊市,高密市,2020,51.37,34.99,16.38,42000,31300,12.14,8.12,4.02,,,17700,,,,,山东省
潍坊市,奎文区,2021,,,1.4012,1298,3627,13.5078,11.5056,2.0022,110467,55197,,,3169,12014,22039,山东省
潍坊市,奎文区,2020,,,1.4101,962.4,3156,10.4353,8.7946,1.6407,44823,44420,,,3378,12042,21189,山东省
潍坊市,临朐县,2022,49.5311,,,,,7.8682,,,,,16925,,,,,山东省
潍坊市,临朐县,2021,49.5298,,,,,7.329,,,,,17238,,,,,山东省
潍坊市,临朐县,2020,49.5298,,,,,6.9761,,,,,17245,,,,,山东省
